type,legal_name,trade_name,street_address,registration_number,date_first_registered,registration_begins,registration_ends,establishment_status,supervisor_no,supervisor_name,successor_no,successor_name
PHARMACY,"DRUG WORLD OF CROTON, LLC",,"2005 ALBANY POST ROAD CROTON ON HUDSON, NY 10520-0000",34223,12/15/15,12/1/18,9/29/20,TRANSFER,,,38203,SHP WESTCHESTER LLC/ SUPER HEALTH PHARMACY WESTCHESTER
PHARMACY,"DRUG WORLD OF HILLCREST, LLC",DRUG WORLD,"275 N MAIN ST UNIT 12 SPRING VALLEY, NY 10977-0000",24874,11/15/00,12/1/10,8/6/12,TRANSFER,,,31396,ECKERSON DRUGS INC./ ECKERSON DRUGS
PHARMACY,"DRUG WORLD OF SPRING VALLEY, INC.",DRUG WORLD,"218 N. MAIN ST. SPRING VALLEY, NY 10977-0000",19258,10/28/86,Not on file,3/25/88,DISCONTINUED,,,,
PHARMACY,"DRUG WORLD OF WEST NYACK, INC.",DRUG WORLD,"312 RTE 59 CENTRAL NYACK, NY 10960-0000",23035,9/27/96,10/1/13,1/22/14,DISCONTINUED,,,,
PHARMACY,DRUG-A-RAMA INC.,,"2709 LONG BEACH RD OCEANSIDE, NY 11572-0000",13813,7/3/72,Not on file,1/18/89,TRANSFER,,,20091,"ZAM CHEMISTS, INC."
PHARMACY,DRUGBOX PHARMACY INC.,DANNY'S PHARMACY II,"110 WEST END AVE. NEW YORK, NY 10023-0000",36937,10/5/18,10/1/21,9/30/24,,48726,,,
PHARMACY,DRUGDEX PHARMACY INC.,DANNY'S PHARMACY,"1632 BRUCKNER BLVD. BRONX, NY 10473-0000",30658,5/4/11,5/1/20,4/30/23,,56430,,,
PHARMACY,DRUGLAND PHARMACY CORP.,,"5806 FORT HAMILTON PKWY BROOKLYN, NY 11219-0000",33604,5/20/15,5/1/21,4/30/24,,63213,,,
PHARMACY,"DRUGMART OF MASSAPEQUA, INC.",DRUGMART OF MASSAPEQUA,"4638 MERRICK RD. MASSAPEQUA, NY 11758-0000",19681,1/29/88,Not on file,6/28/94,TRANSFER,,,22146,"R & R DRUG CO. INC., OF MASSAPEQUA/ DRUG MART OF MASSAPEQUA"
PHARMACY,DRUGS CARE CORP.,,"1001 CHURCH AVE BROOKLYN, NY 11218-0000",29327,3/6/09,3/1/15,11/9/16,TRANSFER,,,34952,SAV PHARMACY INC./ DRUGS CARE PHARMACY
PHARMACY,"DRUGS R US PHARMACY, INC.",,"1963 GRAND CONCOURSE BRONX, NY 10453-0000",27195,4/29/05,4/1/20,10/22/20,TRANSFER,,,38352,R&S PRIME RX INC/ DRUGS R US PHARMACY
PHARMACY,"DRUGS UNLIMITED (JERICHO), INC.",,"79-79 JERICHO TPKE. WOODBURY, NY 11797-0000",16738,4/1/80,Not on file,7/23/96,DISCONTINUED,,,,
PHARMACY,"DRUGS UNLIMITED, INC.",,"31-63 STEINWAY ST. ASTORIA, NY 11103-0000",13817,7/7/72,Not on file,7/27/88,DISCONTINUED,,,,
PHARMACY,"DRUGTIQUE CO., INC.",UTICA PRESCRIPTION CENTER,"8439 SENECA TURNPIKE NEW HARTFORD, NY 13413-0000",14009,12/18/72,Not on file,6/22/00,DISCONTINUED,,,,
PHARMACY,"DRUM PHARMACY, INC.",,"921 EAST 163RD ST. BRONX, NY 10459-0000",13784,7/1/72,Not on file,3/21/95,DISCONTINUED,,,,
PHARMACY,"DRUMLINS PHARMACY, INC.",,"602 NOTTINGHAM ROAD DEWITT, NY 13224-0000",8324,10/28/59,Not on file,11/7/90,TRANSFER,,,20796,FAY'S INCORPORATED/ ECKERD
PHARMACY,DSST PHARMACY CORP.,RX-SPRESS PHARMACY,"123-07 LIBERTY AVE. SOUTH RICHMOND HILL, NY 11419-0000",27403,9/27/05,9/1/17,1/22/20,TRANSFER,,,37881,RX EXPRESS PHARMA LLC/ RX-SPRESS PHARMACY
PHARMACY,"DTH PHARMACY, INC.",DOWNTOWN PHARMACY,"19 BEEKMAN STREET NEW YORK, NY 10038-0000",28047,10/3/06,9/1/12,7/20/13,DISCONTINUED,,,,
PHARMACY,DUAL DRUG INC.,BENNETT PHARMACY,"78-20 LINDEN BLVD. HOWARD BEACH, NY 11414-0000",21454,10/8/92,Not on file,9/5/96,TRANSFER,,,23052,"RITE AID OF NEW YORK, INC."
PHARMACY,DUANE READE,,"C/O PHARMACY 254 PARK AVE SOUTH NEW YORK, NY 10010-0000",18607,5/31/85,1/1/17,2/28/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 37 BROADWAY NEW YORK, NY 10006-0000",18608,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 250 BROADWAY NEW YORK, NY 10007-0000",18609,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 67 BROAD ST. NEW YORK, NY 10004-0000",18610,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 305 BROADWAY NEW YORK, NY 10007-0000",18611,5/13/85,1/1/20,12/31/22,,,Type :  PHARMACY             Legal Name :  DUANE READE                                        Trade Name :  Street Address :   C/O PHARMACY,,
PHARMACY,DUANE READE,,"C/O PHARMACY 401 PARK AVENUE SOUTH NEW YORK, NY 10016-0000",18612,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 530 5TH AVE. SUITE 102 NEW YORK, NY 10036-0000",18613,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 756 MYRTLE AVE. BROOKLYN, NY 11206-0000",18614,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 415 5TH AVE. NEW YORK, NY 10016-0000",18615,5/31/85,1/1/05,3/30/06,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 525 7TH AVE. NEW YORK, NY 10018-0000",18616,5/31/85,1/1/20,3/2/20,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 41 EAST 58TH ST. NEW YORK, NY 10022-0000",18617,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"5 WORLD TRADE CENTER NEW YORK, NY 10048-0000",18618,5/31/85,Not on file,7/12/91,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 144 EAST 44TH ST. NEW YORK, NY 10017-0000",18619,5/31/85,1/1/05,3/24/06,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 51 WEST 51ST STREET NEW YORK, NY 10019-0000",18620,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 5 WORLD TRADE CTR. NEW YORK, NY 10038-0000",18621,5/31/85,Not on file,9/11/01,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 585 HUDSON ST. NEW YORK, NY 10014-0000",18622,5/31/85,1/1/11,7/25/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 485 LEXINGTON AVE. NEW YORK, NY 10017-0000",18623,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 99 JOHN STREET NEW YORK, NY 10038-0000",18624,5/31/85,1/1/14,7/17/14,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1430 BROADWAY NEW YORK, NY 10018-0000",18625,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 260 MADISON AVENUE NEW YORK, NY 10016-2401",18626,5/31/85,1/1/17,12/3/18,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1150 AVENUE OF AMERICAS NEW YORK, NY 10036-0000",18627,5/31/85,1/1/14,3/5/16,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"20 EAST 46TH ST. NEW YORK, NY 10017-0000",18628,5/31/85,Not on file,8/12/02,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 370 LEXINGTON AVE. NEW YORK, NY 10017-0000",18629,5/31/85,1/1/05,1/29/07,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 358-362 5TH AVE. NEW YORK, NY 10001-0000",18630,5/31/85,1/1/17,11/9/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 40 WALL ST. NEW YORK, NY 10005-0000",18631,5/31/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1627 BROADWAY NEW YORK, NY 10019-0000",18790,9/18/85,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 95 WALL ST. NEW YORK, NY 10005-0000",19376,2/24/87,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 49 E. 52ND ST. NEW YORK, NY 10022-0000",19499,7/29/87,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 386 FULTON ST. BROOKLYN, NY 11201-0000",19525,8/24/87,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 55 E. 55TH ST. NEW YORK, NY 10022-0000",19590,11/2/87,1/1/20,4/21/20,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 4 PARK AVE. NEW YORK, NY 10016-0000",20144,3/13/89,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 80 MAIDEN LN. NEW YORK, NY 10038-0000",20298,12/11/89,1/1/17,6/27/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1 WHITEHALL ST. NEW YORK, NY 10004-2109",20354,11/22/89,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"225 BROADWAY NEW YORK, NY 10007-0000",20885,3/29/91,Not on file,9/11/01,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 100 WEST 57TH STREET NEW YORK, NY 10019-0000",20939,5/3/91,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 460 8TH AVE. NEW YORK, NY 10001-1802",20981,6/17/91,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 306 EAST FORDHAM RD. BRONX, NY 10458-0000",21196,12/25/91,1/1/11,10/31/11,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 333 7TH AVE. NEW YORK, NY 10001-0000",21615,3/5/93,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 122 E. 42ND ST. NEW YORK, NY 10168-0000",21814,9/10/93,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 598 BROADWAY NEW YORK, NY 10012-0000",21830,8/18/93,1/1/17,4/18/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 661 8TH AVE. NEW YORK, NY 10036-0000",21942,1/14/94,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 115-117 W. 42ND. ST. NEW YORK, NY 10036-0000",22056,3/28/94,Not on file,8/12/02,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"1ST FLOOR 24 EAST 14TH ST. NEW YORK, NY 10003-3101",22086,4/28/94,1/1/14,5/23/14,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 559 FULTON STREET BROOKLYN, NY 11201-5309",22117,5/26/94,1/1/20,12/9/21,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1191 SECOND AVE. NEW YORK, NY 10065-0000",22144,6/27/94,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 110 W. 34TH ST. NEW YORK, NY 10001-2115",22178,8/26/94,Not on file,6/8/04,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2522 BROADWAY NEW YORK, NY 10025-6946",22184,8/3/94,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 749 BROADWAY BROOKLYN, NY 11206-0000",22195,8/17/94,1/1/08,7/29/10,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 279 W. 125TH ST. NEW YORK, NY 10027-4408",22198,8/19/94,1/1/17,4/23/18,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 941 SOUTHERN BLVD. #943 BRONX, NY 10459-0000",22239,9/20/94,1/1/17,10/3/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1279 THIRD AVE. NEW YORK, NY 10021-3657",22240,11/16/94,1/1/20,6/11/20,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 711 THIRD AVENUE NEW YORK, NY 10017-0000",22297,4/19/95,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2307 BROADWAY NEW YORK, NY 10024-4347",22353,1/10/95,1/1/14,7/17/14,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 866 THIRD AVE. NEW YORK, NY 10022-0000",22383,2/17/95,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 44 COURT ST. BROOKLYN, NY 11201-4405",22423,3/20/95,1/1/17,10/14/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY PENN STATION MAIN CONCOURSE/AMTRAK LVL NEW YORK, NY 10001-0000",22435,5/10/95,1/1/14,6/30/16,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 22 W. 48TH ST. NEW YORK, NY 10036-0000",22494,5/11/95,1/1/20,3/9/20,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 949 THIRD AVE. NEW YORK, NY 10022-0000",22499,6/28/95,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 378 6TH AVE. NEW YORK, NY 10011-0000",22587,8/3/95,1/1/17,2/28/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 71 WEST 23RD ST. NEW YORK, NY 10010-4102",22978,8/16/96,1/1/17,10/14/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 13602 ROOSEVELT AVE FLUSHING, NY 11354-0000",23210,3/28/97,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 196 THIRD AVE. NEW YORK, NY 10003-2503",23267,4/21/97,1/1/17,10/14/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 81-01 BROADWAY ELMHURST, NY 11373-0000",23311,6/23/97,1/1/17,2/21/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 380 AMSTERDAM AVE. NEW YORK, NY 10024-6208",23387,7/17/97,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1467 FIRST AVE. #168 NEW YORK, NY 10075-0000",23436,9/15/97,1/1/17,11/6/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1646 2ND AVENUE NEW YORK, NY 10028-3004",23437,11/20/97,1/1/14,1/15/15,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1185 6TH AVE. NEW YORK, NY 10036-0000",23471,10/20/97,1/1/05,5/9/06,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 161 EAST 23RD ST. NEW YORK, NY 10010-3751",23517,12/3/97,1/1/17,2/28/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 155 E. 34TH ST. NEW YORK, NY 10016-4766",23531,12/30/97,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 200 WATER ST. NEW YORK, NY 10038-0000",23535,1/12/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 4 AMSTERDAM AVE. NEW YORK, NY 10023-0000",23570,2/6/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 47-02 5TH STREET LONG ISLAND CITY, NY 11101-0000",23571,2/6/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1181 LIBERTY AVE. BROOKLYN, NY 11208-0000",23586,2/17/98,1/1/14,10/20/16,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 57-11 MYRTLE AVE. RIDGEWOOD, NY 11385-4933",23587,2/18/98,1/1/17,4/22/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1290 AMSTERDAM AVE. NEW YORK, NY 10027-4225",23588,2/18/98,1/1/11,12/1/12,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 60 SPRING ST. NEW YORK, NY 10012-0000",23599,2/25/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 33 7TH AVE. NEW YORK, NY 10011-0000",23607,3/20/98,1/1/17,10/14/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,DUANE READE #183,"C/O PHARMACY 1520 AVENUE J BROOKLYN, NY 11230-0000",23622,4/30/98,1/1/08,7/21/10,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 100 DELANCEY ST. NEW YORK, NY 10002-3202",23628,4/2/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 322 8TH AVE. NEW YORK, NY 10001-0000",23629,4/2/98,1/1/17,11/5/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1 UNION SQUARE SOUTH NEW YORK, NY 10003-0000",23639,4/10/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 724 FLATBUSH AVE. BROOKLYN, NY 11226-0000",23641,4/10/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 60-02 ROOSEVELT AVE. WOODSIDE, NY 11377-0000",23684,5/21/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 93-01 SUTPHIN BLVD. JAMAICA, NY 11435-4319",23685,5/21/98,1/1/14,6/17/15,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1231 MADISON AVE. NEW YORK, NY 10128-0000",23692,6/2/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,DUANE READE #193,"C/O PHARMACY 138 HILLSIDE AVE. WILLISTON PARK, NY 11596-2322",23704,6/12/98,Not on file,1/5/02,DISCONTINUED,,,,
PHARMACY,DUANE READE,DUANE READE #190,"C/O PHARMACY 2887 3RD AVE. BRONX, NY 10455-2600",23705,6/9/98,Not on file,5/17/00,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2108 3RD. AVE. NEW YORK, NY 10029-2103",23716,6/11/98,1/1/17,12/14/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 48-01 QUEENS BLVD. WOODSIDE, NY 11377-0000",23736,7/3/98,1/1/17,10/14/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 617 WEST 181ST STREET NEW YORK, NY 10033-4913",23737,7/3/98,1/1/17,6/11/18,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 3612 NOSTRAND AVE. BROOKLYN, NY 11229-5303",23744,7/14/98,1/1/08,4/29/08,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2683 BROADWAY NEW YORK, NY 10025-4412",23746,7/15/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 700 COLUMBUS AVE. NEW YORK, NY 10025-0000",23755,7/16/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 611 AVENUE OF AMERICAS NEW YORK, NY 10011-0000",23783,8/11/98,1/1/17,3/8/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,DUANE READE #195,"C/O PHARMACY 2111 WHITE PLAINS RD. BRONX, NY 10462-0000",23784,8/11/98,Not on file,2/6/02,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 585 2ND. AVE. NEW YORK, NY 10016-0000",23786,9/15/98,1/1/17,10/14/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2939 THIRD AVENUE BRONX, NY 10455-2601",23791,8/20/98,1/1/14,6/17/14,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 405 LEXINGTON AVENUE NEW YORK, NY 10017-0000",23792,8/31/98,Not on file,1/28/99,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 465 2ND AVENUE NEW YORK, NY 10016-0000",23793,9/8/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 100 MAMARONECK AVE. WHITE PLAINS, NY 10601-0000",23917,9/11/98,1/1/14,12/20/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 265 NORTH BROADWAY HICKSVILLE, NY 11801-0000",23918,9/11/98,1/1/14,12/12/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1445 HEMSTEAD TURNPIKE ELMONT, NY 11003-0000",23919,9/11/98,1/1/17,2/14/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 710 FRANKLIN AVE. FRANKLIN SQUARE, NY 11010-0000",23920,9/11/98,1/1/08,8/18/09,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1502-B DEER PARK AVENUE NORTH BABYLON, NY 11236-0000",23921,9/11/98,Not on file,5/5/99,TRANSFER,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2265 RALPH AVE. BROOKLYN, NY 11234-0000",23922,9/11/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2456 RICHMOND AVE. STATEN ISLAND, NY 10314-5804",23923,9/11/98,1/1/17,11/5/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 600 WELLWOOD AVE. LINDENHURST, NY 11757-0000",23924,9/11/98,Not on file,5/5/99,TRANSFER,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 73-01 37TH AVENUE JACKSON HEIGHTS, NY 11372-6326",23925,9/11/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 198-15 HORACE HARDING EXP FRESH MEADOWS, NY 11365-0000",23926,9/11/98,1/1/17,2/28/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1888 WESTCHESTER AVE. BRONX, NY 10472-0000",23927,9/11/98,1/1/17,2/28/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 530 JERICHO TURNPIKE MINEOLA, NY 11501-0000",23928,9/11/98,Not on file,2/6/02,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 421 BOSTON POST ROAD PORT CHESTER, NY 10573-0000",23929,9/11/98,1/1/05,5/27/05,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1401-07 KINGS HIGHWAY BROOKLYN, NY 11229-0000",23930,9/11/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 156-44 NORTHERN BLVD. FLUSHING, NY 11354-0000",23931,9/11/98,1/1/14,12/5/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2931 AVENUE U BROOKLYN, NY 11229-0000",24113,10/1/98,1/1/17,12/14/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 66-56 GRAND AVE. MASPETH, NY 11378-0000",24114,10/1/98,1/1/17,2/21/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 4228 MAIN ST. FLUSHING, NY 11355-0000",24115,10/1/98,1/1/17,8/10/17,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 4318 13TH AVENUE BROOKLYN, NY 11219-0000",24162,12/16/98,1/1/11,8/30/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 678 MCLEAN AVENUE YONKERS, NY 10704-3841",24176,11/30/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 4363 AMBOY ROAD STATEN ISLAND, NY 10312-0000",24177,11/30/98,1/1/17,8/1/18,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 58 E. FORDHAM RD. BRONX, NY 10468-5441",24178,11/30/98,1/1/20,12/9/21,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 625 8TH AVENUE NEW YORK, NY 10018-0000",24181,11/30/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 1417 AVENUE U BROOKLYN, NY 11229-0000",24182,11/30/98,1/1/20,3/4/20,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 95-11 63RD DRIVE REGO PARK, NY 11374-0000",24183,11/30/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 42 WEST BROAD STREET MT VERNON, NY 10552-0000",24184,11/30/98,1/1/11,6/27/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 609 COLUMBUS AVENUE NEW YORK, NY 10024-0000",24185,11/30/98,1/1/20,12/31/22,,,Type :  PHARMACY             Legal Name :  DUANE READE                                        Trade Name :  Street Address :   C/O PHARMACY,,
PHARMACY,DUANE READE,DUANE READE #210,"C/O PHARMACY 3090 OCEAN AVENUE BROOKLYN, NY 11235-0000",24186,11/30/98,Not on file,5/18/99,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 116-02 BEACH CHANNEL DR. FAR ROCKAWAY, NY 11694-0000",24189,12/3/98,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,DUANE READE #461,"C/O PHARMACY 2568 CENTRAL PARK AVE. YONKERS, NY 10710-0000",24208,12/28/98,Not on file,2/6/02,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 4250 JERUSALEM AVE. NORTH MASSAPEQUA, NY 11758-0000",24209,12/29/98,1/1/14,12/12/13,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 436 86TH ST. BROOKLYN, NY 11209-0000",24237,2/17/99,1/1/20,12/31/22,,,,,
PHARMACY,DUANE READE,DUANE READE #469,"C/O PHARMACY 5601 MERRICK RD. EAST MASSAPEQUA, NY 11758-0000",24238,2/5/99,1/1/05,2/28/05,DISCONTINUED,,,,
PHARMACY,DUANE READE,DUANE READE #456,"C/O PHARMACY 1851 SUNRISE HIGHWAY BAYSHORE, NY 11766-0000",24239,2/17/99,1/1/05,2/10/05,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2025 BROADWAY NEW YORK, NY 10023-0000",24283,3/4/99,1/1/20,3/2/20,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 3090 OCEAN AVENUE BROOKLYN, NY 11235-0000",24287,3/22/99,1/1/17,1/28/19,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 407 BROADWAY NEW YORK, NY 10013-0000",24317,3/18/99,1/1/05,9/23/05,DISCONTINUED,,,,
PHARMACY,DUANE READE,,"C/O PHARMACY 2760-62 BROADWAY NEW YORK, NY 10025-0000",24318,3/22/99,1/1/20,12/31/22,,,Type :  PHARMACY             Legal Name :  DUANE READE                                        Trade Name :  Street Address :   C/O PHARMACY,,
